qaid	message
spam.csv_0	Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
spam.csv_1	Ok lar... Joking wif u oni...
spam.csv_2	Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
spam.csv_3	U dun say so early hor... U c already then say...
spam.csv_4	Nah I don't think he goes to usf, he lives around here though
spam.csv_5	FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, ï¿½1.50 to rcv
spam.csv_6	Even my brother is not like to speak with me. They treat me like aids patent.
spam.csv_7	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam.csv_8	WINNER!! As a valued network customer you have been selected to receivea ï¿½900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam.csv_9	Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
spam.csv_10	I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
spam.csv_11	SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
spam.csv_12	URGENT! You have won a 1 week FREE membership in our ï¿½100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
spam.csv_13	I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
spam.csv_14	I HAVE A DATE ON SUNDAY WITH WILL!!
spam.csv_15	XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
spam.csv_16	Oh k...i'm watching here:)
spam.csv_17	Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
